,ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,LIGHT_CONDITION_DESC,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,NODE_ID,NODE_TYPE,AMG_X,AMG_Y,LG_AREA_NAME,REGION_NAME,DEG_URBAN_NAME,LATITUDE,LONGITUDE,POSTCODE,NEAREST_NATIONAL_PARK_NAME
1901,T20170024593,23/12/17,20.25.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,47,D,7,2,Dusk/Dawn,1,1,0,1,0,0,2,5,Not at intersection,3,100,327226,N,2564389.806,2514815.308,STRATHBOGIE,NORTH EASTERN REGION,RURAL_VICTORIA,-36.86428,145.72222,3666,Lake Eildon National Park
1902,T20170024861,29/12/17,14.35.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,44,F,8,1,Day,1,1,1,0,0,0,1,5,Not at intersection,2,100,325450,N,2436446.049,2512348.07,BENDIGO,NORTHERN REGION,RURAL_VICTORIA,-36.88657,144.28695,3551,Greater Bendigo National Park
1903,T20180000087,02/01/18,08.45.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9,104,F,2,1,Day,1,1,1,0,0,0,2,5,Not at intersection,2,100,325512,N,2658076.937,2330275.384,WELLINGTON,EASTERN REGION,RURAL_VICTORIA,-38.51566,146.81227,3874,Tarra-Bulga National Park
1904,T20180000330,06/01/18,08.20.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,414,A,9,1,Day,1,1,0,1,0,0,1,5,Not at intersection,3,100,326506,N,2440057.149,2458161.701,HEPBURN,WESTERN REGION,RURAL_VICTORIA,-37.37512,144.32314,3458,Brisbane Ranges National Park
1905,T20180000517,09/01/18,22.16.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCD,9,95,J,5,5,Dark No street lights,1,1,1,0,0,0,1,5,Not at intersection,2,80,326188,N,2541429.319,2367220.241,CARDINIA,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-38.1955,145.47292,3981,French Island National Park
1906,T20180000660,12/01/18,06.45.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,416,F,10,1,Day,1,1,0,1,0,0,1,5,Not at intersection,3,100,326300,N,2487370.761,2456159.573,MACEDON RANGES,NORTHERN REGION,RURAL_VICTORIA,-37.395,144.85736,3756,Organ Pipes National Park
1907,T20180000841,15/01/18,05.30.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,77,C,8,2,Dusk/Dawn,1,2,0,2,0,0,1,5,Not at intersection,3,100,326034,N,2421882.302,2399285.994,GOLDEN PLAINS,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.90426,144.11172,3332,Brisbane Ranges National Park
1908,T20180000855,15/01/18,11.39.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,56,G,8,1,Day,1,1,1,0,0,0,1,5,Not at intersection,2,100,326640,N,2317466.972,2454760.324,ARARAT,WESTERN REGION,RURAL_VICTORIA,-37.38988,142.93834,3377,Grampians National Park
1909,T20180000868,13/01/18,13.30.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,77,F,2,1,Day,1,1,0,1,0,0,2,5,Not at intersection,3,999,326092,N,2435033.803,2441573.444,MOORABOOL,WESTERN REGION,RURAL_VICTORIA,-37.52426,144.26497,3458,Brisbane Ranges National Park
1910,T20180000881,15/01/18,17.15.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,76,B,5,1,Day,1,2,2,0,0,0,1,5,Not at intersection,2,100,327054,N,2375256.985,2419654.578,GOLDEN PLAINS,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.71567,143.58505,3360,Brisbane Ranges National Park
1911,T20180000988,15/01/18,14.00.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,80,B,2,1,Day,1,1,0,1,0,0,2,5,Not at intersection,3,999,326280,N,2553242.343,2442142.092,MURRINDINDI,NORTH EASTERN REGION,RURAL_VICTORIA,-37.51988,145.60235,3778,Kinglake National Park
1912,T20180001114,04/01/18,05.40.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,MEL,43,393,F,9,2,Dusk/Dawn,1,1,0,1,0,0,2,5,Not at intersection,3,80,326211,N,2519561.732,2433510.899,NILLUMBIK,METROPOLITAN NORTH WEST REGION,RURAL_VICTORIA,-37.59897,145.22154,3099,Kinglake National Park
1913,T20180001249,20/01/18,21.30.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,522,D,2,3,Dark Street lights on,1,1,0,1,0,0,1,5,Not at intersection,3,60,326810,N,2373534.833,2423480.583,GOLDEN PLAINS,SOUTH WESTERN REGION,SMALL_TOWNS,-37.68097,143.56617,3360,Brisbane Ranges National Park
1914,T20180001401,22/01/18,20.45.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,35,C,5,2,Dusk/Dawn,1,1,0,1,0,0,2,5,Not at intersection,3,100,327070,N,2646985.235,2582075.874,INDIGO,NORTH EASTERN REGION,RURAL_VICTORIA,-36.24891,146.63555,3683,Chiltern-Mt Pilot National Park
1915,T20180001435,18/01/18,13.00.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9,417,D,6,1,Day,1,1,1,0,0,0,1,5,Not at intersection,2,100,326744,N,2502648.189,2462219.437,MITCHELL,NORTHERN REGION,RURAL_VICTORIA,-37.34047,145.02989,3758,Kinglake National Park
1916,T20180001844,26/01/18,21.25.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,61,F,4,5,Dark No street lights,1,1,1,0,0,0,1,5,Not at intersection,2,100,327886,N,2524692.004,2482985.783,MURRINDINDI,NORTH EASTERN REGION,RURAL_VICTORIA,-37.15301,145.278,3660,Kinglake National Park
1917,T20180002162,01/02/18,06.15.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,MEL,43,351,J,5,2,Dusk/Dawn,1,1,0,1,0,0,2,5,Not at intersection,3,100,326885,N,2473915.859,2430188.709,MELTON,METROPOLITAN NORTH WEST REGION,RURAL_VICTORIA,-37.62874,144.70448,3427,Organ Pipes National Park
1918,T20180002299,06/02/18,14.27.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9,578,F,12,1,Day,1,1,0,1,0,0,2,5,Not at intersection,3,100,326856,N,2400563.481,2423352.166,BALLARAT,WESTERN REGION,RURAL_VICTORIA,-37.6854,143.87257,3352,Brisbane Ranges National Park
1919,T20180003137,18/02/18,12.40.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,90,C,8,1,Day,1,1,1,0,0,0,1,5,Not at intersection,2,100,331985,N,2295310.409,2338637.064,MOYNE,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.4312,142.65589,3277,Port Campbell National Park
1920,T20180003473,23/02/18,06.45.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,44,E,3,2,Dusk/Dawn,1,3,0,2,0,1,1,5,Not at intersection,3,100,327417,N,2428401.811,2542295.786,BENDIGO,NORTHERN REGION,RURAL_VICTORIA,-36.6161,144.19952,3556,Greater Bendigo National Park
1921,T20180003575,24/02/18,11.40.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,72,D,3,1,Day,1,1,0,1,0,0,1,5,Not at intersection,3,100,327600,N,2210908.352,2428116.546,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.60297,141.72521,3315,Mount Eccles National Park
1922,T20180003707,26/02/18,09.25.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,48,G,8,1,Day,1,1,0,1,0,0,1,5,Not at intersection,3,100,327499,N,2617355.054,2512474.535,WANGARATTA,NORTH EASTERN REGION,RURAL_VICTORIA,-36.88026,146.3166,3723,Mount Buffalo National Park
1923,T20180003735,09/02/18,22.15.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,61,F,2,5,Dark No street lights,1,1,1,0,0,0,2,5,Not at intersection,2,80,327483,N,2522408.246,2497417.961,MITCHELL,NORTHERN REGION,RURAL_VICTORIA,-37.023,145.25186,3660,Heathcote-Graytown National Park
1924,T20180003958,01/03/18,21.25.00,3,Struck animal,4,Thursday,167,STRUCK ANIMAL                        ,VCS,9,602,B,11,5,Dark No street lights,1,1,0,1,0,0,1,5,Not at intersection,3,100,327643,N,2427960.204,2530265.314,BENDIGO,NORTHERN REGION,RURAL_VICTORIA,-36.72449,144.19345,3556,Greater Bendigo National Park
